,Energy (kcal/mol)
1au0,-3.16016
1au2,50.29117
1auj,
1avd,-29.06282
1avn,17.01409
1avp,-267.03553
1aw1,107.69035
1awf,228.82804
1awh,140.35783
1awi,294.25249
1ax0,56.54075
1ax1,175.7656
1ax2,138.26056
1axr,44.76301
1axs,60.93521
1axz,81.49785
1ayu,31.31306
1ayv,15.91251
1aze,-331.60401
1azg,170.25791
1azl,-20.9826
1azm,-63.95898
1azx,-570.73838
1b05,79.88345
1b0f,209.08246
1b0h,121.60109
1b11,21.95547
1b1h,87.24796
1b2h,125.99091
1b2i,-28.92107
1b2m,-59.47761
1b32,84.49946
1b38,91.90417
1b39,81.78174
1b3f,84.51538
1b3g,74.90374
1b3h,80.26016
1b3l,74.27741
1b40,105.29859
1b42,15.57523
1b46,92.18232
1b4d,49.75004
1b4h,128.58761
1b4z,-20.26021
1b51,88.57828
1b52,84.3355
1b55,898.2061
1b56,10.65331
1b57,-58.61209
1b58,95.62924
1b5g,-16.96677
1b5h,151.3127
1b5i,35.86504
1b5j,39.71481
1b6h,68.13676
1b6j,84.15388
1b6k,121.23506
1b6l,77.54652
1b6m,84.74303
1b6p,118.97478
1b74,-38.98684
1b7h,81.92791
1b8n,-58.08987
1b8o,6.70042
1b8y,36.86259
1b9j,88.67505
1b9s,27.2384
1b9t,-142.53376
1b9v,93.8133
1ba8,-152.56514
1bai,-62.34415
1bap,67.93738
1bb0,-118.42401
1bbz,250.60036
1bcd,74.41401
1bcj,56.59304
1bcu,29.87328
1bdl,27.32737
1bdq,-0.3967
1bdr,7.59371
1bgo,112.70426
1bgq,68.73154
1bhf,309.94613
1bhx,-174.43264
1bil,8.28911
1bim,-39.14763
1bio,13.9476
1biw,44.48713
1bji,1.00532
1bjr,119.66636
1bju,-47.00448
1bjv,-17.26261
1bkj,-40.10913
1bkm,71.36279
1bky,-76.34475
1bl4,201.42633
1bl6,65.07619
1bl7,-95.25362
1bm2,-20.74522
1bm6,42.8414
1bm7,63.57591
1bma,252.72067
1bmb,85.31538
1bmk,-55.01068
1bmm,-188.67817
1bmn,-170.71345
1bmq,-25.86483
1bn1,-105.60396
1bn3,-13.67272
1bn4,-104.47123
1bnm,-23.83416
1bnn,-27.86296
1bnq,-25.21556
1bnt,-15.84369
1bnu,-65.97098
1bnv,-20.08293
1bnw,-126.35818
1bo5,100.82701
1bp0,-144.58315
1bq3,2504.63858
1bq4,943.82944
1bqm,31.10943
1bqn,32.58608
1bqo,-39.36564
1br5,42.92287
1br6,33.05031
1br8,197.55847
1bra,-4.25524
1bsk,7.2565
1bt6,52.7412
1btn,377.30883
1bty,-4.56027
1bug,-45.81367
1bux,-204.48404
1bv7,41.88991
1bv9,42.83778
1bwa,42.588
1bwb,45.2364
1bwn,896.52697
1bxl,-304.04205
1bxo,16.63087
1bxq,9.18492
1bxr,-102.90128
1bzc,297.32371
1bzf,-40.65159
1bzh,572.60272
1bzj,338.80122
1bzs,76.41625
1bzy,-292.22421
1c12,82.89196
1c1r,25.0752
1c1u,22.84409
1c1v,24.92065
1c29,25.00347
1c2t,147.69372
1c3b,
1c3e,143.51124
1c3i,96.8993
1c3r,83.99455
1c3x,-80.61431
1c4u,5.4664
1c4v,41.20459
1c4y,25.06233
1c50,10.97083
1c5c,97.76234
1c5f,246.32874
1c5n,-8.70961
1c5o,-4.09348
1c5p,-4.66402
1c5q,-8.74696
1c5s,-13.10301
1c5t,-11.871
1c5x,-8.78275
1c5y,-11.88625
1c5z,-4.17613
1c6y,288.97875
1c70,281.41443
1c7e,-44.4263
1c7f,-20.07075
1c83,176.25719
1c84,189.33614
1c85,179.4623
1c86,188.07521
1c87,188.05732
1c88,85.58785
1c8k,79.18382
1c8l,125.5815
1c8v,25.08361
1c9d,16.39885
1ca8,-120.19105
1caq,63.96371
1cbr,38.79378
1cbx,86.07422
1ce5,-4.34225
1cea,-38.24159
1ceb,-27.79319
1cet,42.90038
1cgl,113.57729
1ch8,-26.29355
1ci7,78.95481
1cil,-41.35521
1cim,-42.06182
1cin,-39.50259
1ciz,61.92213
1cj1,-49.02317
1cka,199.25605
1ckb,-33.89231
1clu,-401.43953
1cnw,23.50744
1cnx,6.25345
1cny,43.42887
1cp6,
1cpi,82.38988
1cps,158.41211
1cqp,24.23465
1cr6,-68.1149
1cs4,-42.13482
1csh,-69.7656
1csi,47.88618
1csr,-33.6867
1css,96.97398
1ct8,183.75607
1ctr,130.25831
1ctt,-2.258
1ctu,-53.00105
1cw2,28.02842
1cwb,263.17957
1cwc,252.48099
1cx9,27.63639
1cyn,242.85329
1czc,62.74782
1cze,65.03982
1czk,-23.07096
1czl,-23.39425
1czo,-48.27526
1czq,-291.27284
1czr,-23.24578
1d04,-45.05028
1d09,291.12596
1d1p,140.84224
1d2e,-13.79264
1d2s,72.72703
1d3d,122.40149
1d3p,134.91234
1d3q,163.62079
1d3v,
1d4h,184.79773
1d4i,193.72341
1d4j,167.04293
1d4k,138.99871
1d4l,48.44216
1d4p,-5.34132
1d4t,179.12495
1d4w,68.81661
1d4y,133.28229
1d5j,65.41124
1d5r,171.05415
1d6n,3.00083
1d6s,93.00924
1d6v,54.94624
1d6w,-12.98311
1d7i,9.60218
1d7j,1.74527
1d7x,48.23041
1d8e,94.50498
1d8f,42.70146
1d8m,-48.00726
1d9i,25.7417
1dar,-19.98586
1db1,93.66903
1db4,53.10779
1db5,62.21254
1dbb,73.89802
1dbj,67.06521
1dbk,66.42734
1ddm,280.8355
1det,-93.17717
1df8,-29.92834
1dfo,60.56071
1dg9,139.08359
1dgm,90.09717
1dhi,118.31778
1dhj,117.78828
1di8,13.17508
1di9,20.76264
1dif,55.551
1dis,-7.17097
1dkd,165.39347
1dl7,-25.58266
1dm2,-86.63003
1dmb,644.35253
1dmp,58.2209
1dmt,34.35306
1doj,-58.16453
1dpu,-354.32546
1dqn,-282.73683
1dqx,-114.48363
1drj,72.81236
1drk,72.7813
1drv,1.91894
1dth,44.49242
1dtq,-4.2707
1dtt,-16.8035
1dub,-58.67093
1dud,-111.90576
1duv,-478.92848
1dva,-416.80254
1dwc,-200.02514
1dwd,-1.39442
1dx6,58.47213
1dxp,15.14016
1dy4,82.97832
1dzj,-36.90177
1dzk,60.13919
1dzm,64.22416
1dzp,71.5292
1e00,22.20898
1e02,12.34549
1e03,-597.77869
1e06,18.03102
1e1v,-59.09867
1e1x,-75.40278
1e1y,79.15029
1e2k,-64.54431
1e2l,-64.99705
1e34,-43.33609
1e37,-10.73966
1e3g,61.88405
1e3v,98.12081
1e4h,43.20846
1e55,133.61551
1e5a,17.2554
1e5j,356.5922
1e66,53.52768
1e6q,147.47701
1e6s,100.42827
1e72,136.75137
1e8h,47.25255
1e9h,102.46897
1eas,-48.95955
1eat,41.3483
1eb1,264.35579
1eb2,86.64362
1ebg,-4.3838
1ebw,137.71412
1eby,221.91769
1ebz,191.26651
1ec0,217.11802
1ec1,161.8344
1ec2,203.33991
1ec3,195.08416
1ec9,116.24967
1ecq,167.80461
1ecv,171.43647
1eed,43.56811
1eef,170.99817
1eei,143.77438
1efi,105.18719
1efy,21.67418
1egh,107.25371
1eix,-111.07945
1ej4,-473.68413
1ejn,-230.97625
1ek1,-58.30748
1ek2,-96.91232
1ekb,-131.89113
1ela,135.23285
1elb,135.72017
1elc,167.10986
1eld,176.02094
1ele,145.09264
1elr,281.2676
1els,4.06871
1em6,-1.48703
1ent,10.8052
1enu,36.31387
1eoc,34.81266
1eoj,216.46705
1eol,206.69443
1eou,-150.09528
1epo,131.99299
1epp,-200.67547
1epq,78.83722
1erb,22.62296
1ero,
1erq,
1err,99.90705
1esz,
1ets,-1.25834
1ett,-18.90203
1etz,-88.27826
1eub,43.12804
1eve,83.16317
1evh,152.00994
1ew8,125.72987
1ew9,69.60462
1ewj,229.74021
1ex8,-52.86233
1exv,-1.61672
1exw,11.50891
1ez9,372.37833
1ezf,188.55254
1ezq,37.90855
1f0q,33.51499
1f0r,-46.91585
1f0s,-44.26727
1f0t,-52.73676
1f0u,37.21165
1f1j,107.30849
1f28,127.49056
1f2o,-1.55075
1f2p,11.51932
1f3e,48.70855
1f3j,-189.83913
1f40,91.5797
1f47,-63.55021
1f4e,55.03149
1f4f,208.51236
1f4g,132.78708
1f4x,93.20169
1f4y,187.47011
1f57,-0.11527
1f5k,-1.0732
1f5l,-143.7245
1f73,123.98067
1f74,147.92508
1f7b,71.23032
1f8a,108.50327
1f8b,93.89814
1f8c,6.93132
1f8d,37.76528
1f8e,3.59683
1f90,15.70075
1f92,60.62841
1f9e,76.17907
1f9g,67.62988
1fao,897.11216
1fax,25.7432
1fbm,52.95219
1fch,65.99257
1fcx,115.7181
1fcy,132.68273
1fcz,118.03399
1fd0,152.88241
1fd7,114.86183
1fdq,50.50195
1fe3,4.04945
1ff1,126.50025
1fgi,22.56128
1fh7,170.63999
1fh8,115.06532
1fh9,155.88473
1fhd,135.9697
1fhr,255.18631
1fig,188.9709
1fiv,88.71619
1fj4,20.62679
1fjs,176.27948
1fkb,221.05858
1fkf,239.16342
1fkg,102.88872
1fkh,97.6113
1fki,47.24662
1fkn,122.91575
1fkw,107.90465
1fl3,29.83572
1fl6,26.33535
1flm,-25.31604
1flr,69.68614
1fls,83.71631
1fm9,238.34058
1fmb,63.64574
1fo0,86.36577
1fo2,97.87858
1fo3,96.95681
1fpc,-172.09466
1fpi,-7.08384
1fpp,31.92839
1fpy,-22.24713
1fq4,203.50511
1fq5,62.37869
1fq6,-41.78652
1fq7,22.47708
1fq8,101.36137
1fsg,-134.45125
1fsw,
1fsy,
1ft4,123.34685
1ft7,-73.83299
1fta,7.98969
1ftj,-42.77562
1ftk,11.58402
1ftl,61.25618
1ftm,-26.66576
1fv0,111.86976
1fv9,-38.00932
1fvt,10.47028
1fvv,-82.05717
1fw0,16.87018
1fwe,21.49837
1fwu,146.32173
1fwv,148.2622
1fyr,110.29381
1fzj,-42.43833
1fzk,158.136
1fzm,-37.173
1fzo,155.80313
1fzq,-19.59576
1g05,-57.09148
1g1d,-50.46842
1g1e,-233.09371
1g27,29.31459
1g2a,34.97977
1g2k,-32.97413
1g2l,131.32054
1g2m,41.02998
1g2o,5.82532
1g30,128.2705
1g32,45.07003
1g35,-1.44496
1g36,41.40884
1g37,128.12608
1g3b,45.49507
1g3c,42.4326
1g3d,63.88469
1g3e,40.02654
1g3f,35.2227
1g3m,52.87285
1g42,
1g45,-51.65822
1g46,-43.97817
1g48,-63.42143
1g49,-25.23022
1g4j,-54.35858
1g4k,-47.53014
1g4o,-45.35695
1g50,58.45156
1g52,-42.0832
1g53,-62.44665
1g54,-55.17022
1g5f,5.01413
1g5s,-31.01911
1g6g,-318.70206
1g6r,-6.20992
1g6s,45.36998
1g74,18.01741
1g7f,200.27268
1g7g,234.19679
1g7p,-260.09941
1g7q,-90.59527
1g7v,206.78717
1g85,8.16777
1g98,114.33342
1g9a,9.0438
1g9b,8.57887
1g9c,8.76025
1g9d,105.93668
1g9r,-112.47568
1g9s,10.72498
1g9t,-54.60738
1ga8,140.73889
1ga9,
1gaf,81.90582
1gag,143.13829
1gah,309.35739
1gai,341.28121
1gar,14.77311
1gbq,-305.15863
1gbt,-140.92575
1gca,79.10756
1gcz,20.58681
1gfw,59.80424
1gfy,179.04969
1gfz,-121.25754
1ggd,41.07476
1ggn,-36.48956
1ghv,-14.17603
1ghw,-5.04839
1ghy,23.90356
1ghz,-13.70245
1gi1,-4.282
1gi4,7.7525
1gi6,3.62693
1gi7,-14.09348
1gi8,7.91346
1gi9,9.82333
1gj4,30.65569
1gj5,40.83587
1gj6,28.80252
1gj7,28.7652
1gj8,13.93195
1gja,9.92337
1gjb,40.98076
1gjc,41.14478
1gjd,10.46725
1gmy,127.93372
1gni,20.75628
1gnj,40.87492
1gnm,-201.36043
1gnn,-206.40278
1gno,-206.02579
1gny,368.60276
1gpk,34.46052
1gpn,35.86823
1gpy,3.00916
1gqs,13.21865
1grp,231.79627
1gsf,112.76939
1gsz,79.63057
1gt1,47.83128
1gt3,15.71882
1gt4,11.57831
1gt5,52.76657
1gu1,101.16291
1gu3,455.24669
1gui,560.2279
1guw,151.71132
1gux,16.91077
1gvk,5.67989
1gvu,135.08997
1gvw,7.48373
1gvx,-102.72625
1gwm,556.16528
1gwq,-25.66156
1gwr,67.63261
1gwv,176.77601
1gww,-59.45473
1gx0,-93.18527
1gx4,-59.52859
1gx8,39.894
1gym,204.84521
1gyx,37.05439
1gyy,45.43346
1gz3,96.98906
1gz4,94.34183
1gz9,249.51807
1gzc,170.82479
1gzg,7.53549
1gzv,115.84365
1h00,14.1582
1h01,-0.24679
1h07,58.96205
1h08,16.19852
1h0a,376.28626
1h0r,101.17593
1h0w,3.80977
1h1b,2.85545
1h1d,178.24474
1h1h,57.17633
1h1p,-57.34517
1h1q,-7.96196
1h1r,-14.00491
1h1s,-79.7373
1h22,40.71188
1h23,38.87339
1h24,-285.13435
1h25,89.87855
1h26,169.89993
1h27,-110.12679
1h28,-199.23338
1h2k,202.46186
1h2t,-213.12158
1h2u,-372.93374
1h35,92.34823
1h36,82.83305
1h37,110.38368
1h39,73.45993
1h3a,59.07668
1h3b,62.55058
1h3c,70.82005
1h3h,13.33157
1h46,90.93119
1h4n,51.26235
1h4w,-4.47117
1h5u,11.07607
1h5v,437.3605
1h60,73.78365
1h61,127.52643
1h62,69.96273
1h6e,264.95702
1h6h,-13.36515
1h79,-23.72885
1h7a,92.4496
1h8l,-174.93257
1h8s,87.03791
1h8y,100.86024
1h9l,39.80545
1h9z,52.66255
1ha2,56.07811
1haa,-83.53904
1hbj,147.12854
1hbv,205.4793
1hc9,-82.60329
1hdq,35.46423
1hdt,-130.65703
1hee,40.67145
1hef,123.65009
1heg,119.93316
1hfs,86.28658
1hge,150.03867
1hgi,134.86402
1hgj,80.1251
1hgt,359.91233
1hi3,67.14103
1hi4,74.99726
1hi5,46.43174
1hih,147.11324
1hii,140.79053
1him,40.1291
1hiv,134.16381
1hiy,-233.53529
1hk1,64.25363
1hk2,62.12871
1hk3,63.05427
1hk4,63.89745
1hk5,56.76395
1hkj,105.7981
1hkk,101.05126
1hkm,137.28085
1hlf,62.30726
1hlk,1.40168
1hmr,9.69738
1hms,14.94148
1hmt,8.03926
1hn2,47.82636
1hn4,2.25027
1hnn,-38.19971
1hos,63.35204
1hp0,102.19699
1hp5,86.47348
1hpo,72.66764
1hps,51.79945
1hpv,-1.73099
1hpx,139.38981
1hq5,
1hqf,-107.64548
1hqg,-8.11131
1hqh,13.453
1hrn,107.67909
1hs6,57.35438
1hsg,282.87309
1hsh,286.84283
1hsl,-10.80791
1hte,48.78087
1htf,112.05561
1htg,105.83505
1hti,107.12043
1hty,19.16689
1hv5,41.67896
1hvh,13.8594
1hvi,37.99513
1hvj,-0.09016
1hvk,35.71885
1hvl,32.72408
1hvr,107.57113
1hvs,37.2093
1hvy,88.51219
1hwr,44.71924
1hww,101.86839
1hxb,130.44071
1hxk,97.45783
1hxw,-49.3594
1hy7,57.27832
1hyo,53.10825
1hyv,
1hyz,
1i00,85.63895
1i1e,144.88737
1i2s,238.53287
1i32,130.94797
1i33,120.41654
1i37,71.97489
1i3z,28.68774
1i41,379.549
1i43,238.16196
1i48,44.09835
1i5d,137.47281
1i5h,371.42013
1i5r,140.6592
1i6v,229.73796
1i72,219.0924
1i7c,49.21175
1i7g,120.07038
1i7i,118.10865
1i7m,-76.75494
1i7z,18.77627
1i80,-71.68383
1i8h,-319.63851
1i8i,136.24564
1i8j,51.11068
1i8z,67.7779
1i90,-43.05037
1i91,54.37021
1i9l,-47.36899
1i9m,-57.31885
1i9n,-55.59043
1i9o,-39.6572
1i9p,-70.97362
1i9q,-41.02134
1iau,74.66685
1ibc,69.93104
1ibg,176.92799
1icj,210.90199
1ida,191.8792
1idb,140.16887
1idg,402.76381
1ie9,92.70379
1iem,
1iep,188.32672
1iew,86.17111
1if7,-36.43462
1if8,-40.17753
1igb,84.98463
1igj,114.28825
1ih0,168.62417
1iht,-58.14166
1ihy,-16.6396
1ii5,-14.93904
1iig,105.00052
1iih,112.73679
1iiq,59.57203
1ijr,224.52041
1ik4,-34.58341
1ikt,132.65505
1ikv,14.47276
1ikw,14.44044
1ikx,-77.27931
1iky,11.57966
1il3,-105.19316
1il4,-134.45243
1il5,-103.3044
1il9,-87.55485
1ilh,-110.85356
1ilq,524.21484
1imx,261.67258
1inc,3.75225
1ind,229.30925
1inf,-215.15179
1ing,42.9462
1inh,20.04475
1inq,209.74553
1iq1,-112.04245
1irs,-57.66512
1is0,270.59266
1it6,57.31471
1iup,7.93278
1ivp,155.39828
1iwq,608.16793
1iy7,-143.23186
1iyl,87.09122
1izh,0.11346
1izi,2.67339
1j01,107.74282
1j07,108.53912
1j14,-4.58644
1j15,-4.6226
1j16,-4.63578
1j17,27.75798
1j19,0.18446
1j1a,62.6226
1j36,37.28213
1j37,55.53644
1j4k,260.3321
1j4p,319.57862
1j4q,357.19991
1j4r,216.20004
1j5i,86.73548
1j7z,-203.06065
1j80,-163.97432
1j81,-170.20586
1jak,-48.76819
1jao,12.45545
1jaq,18.92603
1jbd,-75.04921
1jcx,193.76998
1jd0,-58.05067
1jd5,212.97517
1jd6,116.36542
1jdj,7.34643
1jet,74.96321
1jeu,-26.85695
1jev,100.98704
1jfh,180.75549
1jg0,145.09308
1jgl,58.5226
1jh1,51.69764
1jif,219.58125
1jii,145.72703
1jij,164.67589
1jik,274.28913
1jil,112.7451
1jiz,35.91591
1jj9,-6.27079
1jje,116.34907
1jjk,-119.47529
1jjt,116.78703
1jk7,198.22899
1jld,100.84337
1jlq,73.21247
1jlr,45.55934
1jlx,169.47343
1jm4,-305.50322
1jmf,-143.67112
1jmg,-142.72942
1jmi,-143.31772
1jmq,227.48305
1jn2,186.70109
1jn4,-141.1841
1joc,99.45546
1joj,160.22643
1jp5,107.72028
1jpl,182.2712
1jq3,146.2225
1jq8,114.18743
1jq9,127.21215
1jqd,84.07019
1jqe,84.0833
1jqy,219.34591
1jr1,44.54271
1jrs,-161.53244
1jsv,-150.65717
1jt1,56.03834
1jtq,-46.71084
1juf,207.20131
1juj,30.32738
1juq,-40.06841
1jut,-22.56633
1juy,-82.06777
1jvp,62.31875
1jvu,-122.59016
1jwm,225.94293
1jws,220.92203
1jwt,8.03211
1jwu,213.3508
1jyc,147.3368
1jyi,224.73543
1jyq,214.8774
1jys,-5.07821
1jzs,96.96049
1k03,20.17658
1k06,16.61086
1k08,15.85583
1k1i,-0.40684
1k1j,-24.98555
1k1l,93.5289
1k1m,19.69257
1k1n,-63.18525
1k1o,-137.48662
1k1p,10.61025
1k1y,293.21406
1k21,-144.05607
1k22,4.50274
1k27,15.37202
1k2i,10.46178
1k2v,
1k3n,274.77693
1k3q,324.20535
1k3t,71.163
1k4g,-114.27772
1k4h,-99.38188
1k6c,281.83952
1k6p,284.19541
1k6t,289.75794
1k6v,289.69286
1k9q,112.75461
1k9r,149.03778
1k9s,161.71518
1ka7,101.5863
1kak,598.00408
1kat,-302.62539
1kav,582.09345
1kc5,76.59754
1kc7,185.88294
1kcs,49.31496
1kdk,72.69896
1kds,
1kdv,56.35843
1kdw,
1kdy,70.94502
1kdz,59.38322
1ke0,
1ke1,50.00403
1ke2,-4.6051
1ke3,
1ke5,-10.44167
1ke6,74.17482
1ke7,93.2693
1ke8,-37.28593
1ke9,-219.55452
1kel,27.22265
1kf0,195.52766
1kf6,49.73068
1kfy,108.37353
1kjr,160.94311
1kkq,160.57552
1kl3,66.05356
1kl5,104.15118
1klg,155.77926
1kll,93.4952
1klu,169.73278
1km3,5.43754
1kmv,-66.56333
1kmy,39.20332
1kna,-25.12541
1kne,-22.0887
1koj,3.41545
1kpm,81.46446
1kqb,37.05374
1kr3,-6.32934
1ksn,18.04701
1kti,-29.086
1ktt,2.92962
1kug,37.98386
1kui,38.54152
1kuk,37.45554
1kv1,1.7091
1kv2,190.85736
1kv5,106.91844
1kvo,56.88759
1kwq,-22.55095
1kwr,-21.42133
1kyn,138.15347
1kyv,60.15134
1kz8,45.50517
1kzk,87.14645
1kzn,206.72774
1l0a,41.5237
1l2s,-43.93973
1l2z,-151.47573
1l5q,-121.25375
1l5r,11.86131
1l5s,-134.00372
1l6m,4.02045
1l6s,52.08027
1l6y,45.90031
1l7x,-121.25376
1l83,16.22697
1l8g,201.97549
1laf,-188.0527
1lag,-10.84519
1lah,-15.24627
1lan,-4.20755
1lb6,73.20438
1lbf,133.97003
1lbk,32.3061
1lcj,179.52994
1lcp,-73.75005
1ld7,157.60645
1ld8,114.93248
1lee,90.42722
1leg,95.57405
1lek,83.44677
1lev,66.763
1lf2,92.59062
1lf3,141.82951
1lf8,203.70687
1lf9,309.46839
1lfo,15.57714
1lgt,43.82569
1lgw,29.65877
1lhc,
1lhd,
1lhe,
1lhf,
1lhg,
1lhu,58.51082
1lhv,67.41666
1lhw,80.26761
1li2,5.71321
1li3,2.3378
1li6,4.32882
1ljt,10.5848
1lke,79.18668
1lkk,344.41888
1lkl,326.01774
1lkx,44.8132
1ll4,119.70792
1llb,58.56132
1lnm,73.75751
1lol,-34.45946
1loq,-85.59895
1lor,-109.25644
1los,13.23795
1lox,19.5967
1lpg,74.29726
1lpk,45.86204
1lpz,-5.56672
1lq2,93.01878
1lqd,11.18837
1lqe,46.89245
1lqf,729.08841
1lrh,65.37251
1lrt,107.49485
1lst,-5.57476
1lt5,174.5908
1lt6,143.74296
1lv8,9.87242
1lvc,104.9793
1lvk,
1lvu,9.70762
1lxf,117.13794
1lxh,265.09001
1lyb,57.58133
1lyx,107.50291
1lzo,106.93337
1lzq,21.45042
1m0b,8.51128
1m0n,193.27406
1m0o,187.80587
1m0q,182.35829
1m13,145.99468
1m1b,101.96115
1m21,-203.91106
1m2p,46.77087
1m2q,67.74999
1m2r,58.45426
1m2x,51.63931
1m48,-111.80662
1m4h,139.24785
1m51,-109.85166
1m5b,-18.9032
1m5c,-4.97287
1m5d,-5.60135
1m5e,37.77183
1m5f,37.62743
1m5w,-22.18257
1m6p,4.46171
1m74,30.08165
1m7d,177.61026
1m7i,367.93082
1m7q,167.19455
1m7y,-147.10738
1m83,118.37484
1m9n,-31.6607
1mai,377.56513
1mau,118.34099
1maw,110.88435
1mcz,98.23225
1mdl,97.93374
1me3,53.33842
1me4,59.04242
1me7,68.8356
1me8,68.3404
1mem,59.45634
1mes,87.5886
1met,86.49063
1meu,89.0688
1mf4,-55.42548
1mfa,227.35983
1mfd,239.26607
1mfg,121.63381
1mfi,47.85134
1mh5,64.13944
1mhw,-64.87421
1mik,247.97801
1mj7,62.31641
1mjj,63.38471
1mkd,76.50269
1ml1,107.80815
1mm6,-83.11494
1mm7,-83.37194
1mmp,17.24909
1mmq,38.01365
1mmr,32.18242
1mn9,120.98778
1mnc,34.95623
1mns,105.88717
1moq,-106.72123
1mpa,-37.00992
1mpl,37.45896
1mq1,-31.38618
1mq5,186.53853
1mq6,-39.87284
1mqd,-27.44508
1mqg,-68.5988
1mqh,-67.02375
1mqi,-63.45318
1mqj,-94.59511
1mrn,-54.01019
1mrs,-150.03258
1mrw,85.96078
1mrx,82.10188
1ms0,140.49044
1ms6,40.05263
1ms7,-27.18713
1msm,87.95709
1msn,87.58584
1mto,39.51423
1mtr,84.36861
1mu6,190.50126
1mu8,198.11825
1mue,92.45554
1mui,28.53949
1mv0,-23.04149
1mwn,-35.37311
1mx1,43.51689
1mxl,-194.53069
1mxo,
1mxu,-67.18101
1my2,-31.37605
1my3,-66.88198
1my4,-68.00616
1my8,
1mzc,76.83167
1mzs,83.44075
1n0s,69.20517
1n0t,-28.34564
1n1g,11.11506
1n1m,29.14897
1n1t,106.70704
1n1v,106.40876
1n2v,55.59289
1n3i,-62.05936
1n3w,177.64891
1n3z,-119.79932
1n43,-29.94211
1n46,63.10891
1n4h,41.60726
1n4k,397.65278
1n4m,527.72304
1n51,105.37977
1n5r,94.70571
1n5z,-19.94788
1n7i,21.21905
1n7j,27.55722
1n7m,-6.53777
1n7t,146.46981
1n8u,2.28815
1n8v,4.38329
1n94,79.22079
1n95,145.17164
1n9a,103.74646
1n9m,-29.92254
1nax,75.75373
1nc1,66.37002
1nc3,52.88043
1nc6,-93.49005
1nd5,-8.22169
1nde,-113.40131
1ndj,-29.94622
1ndv,-232.85458
1ndw,33.93352
1ndy,52.93557
1ndz,13.98447
1nf8,104.19322
1nfs,-115.32375
1nfu,11.09789
1nfw,-10.31447
1nfx,40.37134
1nfy,10.41999
1ngw,92.50564
1nh0,94.47644
1nhg,37.43317
1nhu,130.34133
1nhv,110.58524
1nhw,40.58659
1nhx,-1.59944
1nhz,79.58305
1ni1,92.11826
1nj1,-50.36242
1nj5,-56.70631
1nja,-137.10778
1njb,-138.75301
1njc,-130.49394
1njd,-141.79629
1nje,-133.44473
1njf,-61.12531
1njj,515.14692
1njs,50.18725
1njt,17.10608
1nju,69.63863
1nki,422.99177
1nkm,68.6919
1nl4,100.95284
1nl6,232.28021
1nl9,288.40573
1nli,-84.23329
1nlj,114.62825
1nlo,101.64003
1nlp,145.14427
1nlt,123.27938
1nm6,175.97035
1nmk,147.87711
1nms,-16.85315
1nnb,100.95745
1nnk,-14.72179
1nnu,43.31031
1nny,407.34142
1no6,285.4728
1no9,66.55968
1noi,48.34554
1noj,48.34532
1nok,48.38242
1nox,-25.82636
1np0,86.50597
1npa,59.51217
1npv,108.26206
1npw,59.40575
1npz,38.4293
1nq0,81.4259
1nq7,71.5021
1nqc,50.19578
1nt1,32.39356
1ntk,45.8698
1ntv,-207.48168
1nu1,50.51706
1nu3,-23.80871
1nu8,27.05981
1nvq,121.52276
1nvr,167.20602
1nvs,78.31947
1nw4,4.23617
